"id","name","sequence","parent","balance_sheet","income_statement"
"es_balance_normal_31230","3. Acreedores por arrendamiento financiero",31230,"es_balance_normal_31200",,
"es_balance_normal_31240","4. Derivados",31240,"es_balance_normal_31200",,
"es_balance_normal_31250","5. Otros pasivos financieros",31250,"es_balance_normal_31200",,
"es_balance_normal_31300","III. Deudas con empresas del grupo y asociadas a largo plazo",31300,"es_balance_normal_31000",,
"es_balance_normal_31400","IV. Pasivos por impuesto diferido",31400,"es_balance_normal_31000",,
"es_balance_normal_31500","V. Periodificaciones a largo plazo",31500,"es_balance_normal_31000",,
"es_balance_normal_31600","VI. Acreedores comerciales no corrientes",31600,"es_balance_normal_31000",,
"es_balance_normal_31700","VII. Deuda con características especiales a largo plazo",31700,"es_balance_normal_31000",,
"es_balance_normal_32000","C) PASIVO CORRIENTE",32000,"es_balance_normal",,
"es_balance_normal_32100","I. Pasivos vinculados con activos no corrientes mantenidos para la venta",32100,"es_balance_normal_32000",,
"es_balance_normal_32200","II. Provisiones a corto plazo",32200,"es_balance_normal_32000",,
"es_balance_normal_32300","III. Deudas a corto plazo",32300,"es_balance_normal_32000",,
"es_balance_normal_32310","1. Obligaciones y otros valores negociables",32310,"es_balance_normal_32300",,
"es_balance_normal_32320","2. Deudas con entidades de crédito",32320,"es_balance_normal_32300",,
"es_balance_normal_32330","3. Acreedores por arrendamiento financiero",32330,"es_balance_normal_32300",,
"es_balance_normal_32340","4. Derivados",32340,"es_balance_normal_32300",,
"es_balance_normal_32350","5. Otros pasivos financieros",32350,"es_balance_normal_32300",,
"es_balance_normal_32400","IV. Deudas con empresas del grupo y asociadas a corto plazo",32400,"es_balance_normal_32000",,
"es_balance_normal_32500","V. Acreedores comerciales y otras cuentas a pagar ",32500,"es_balance_normal_32000",,
"es_balance_normal_32510","1. Proveedores",32510,"es_balance_normal_32500",,
"es_balance_normal_32511","a) Proveedores a largo plazo",32511,"es_balance_normal_32510",,
"es_balance_normal_32512","b) Proveedores a corto plazo",32512,"es_balance_normal_32510",,
"es_balance_normal_32520","2. Proveedores, empresas del grupo y asociadas",32520,"es_balance_normal_32500",,
"es_balance_normal_32530","3. Acreedores varios ",32530,"es_balance_normal_32500",,
"es_balance_normal_32540","4. Personal (remuneraciones pendientes de pago)",32540,"es_balance_normal_32500",,
"es_balance_normal_32550","5. Pasivos por impuesto corriente",32550,"es_balance_normal_32500",,
"es_balance_normal_32560","6. Otras deudas con las Administraciones Públicas",32560,"es_balance_normal_32500",,
"es_balance_normal_32570","7. Anticipos de clientes",32570,"es_balance_normal_32500",,
