"id","rule","origin_tax","tax","group"
"fptt_pymes_irpf18_4","fp_pymes_irpf18","iva_pymes_sop_4","iva_pymes_sop_4","tax_group_purchase_pymes"
"fptt_pymes_irpf18_4_2","fp_pymes_irpf18","iva_pymes_sop_4","irpf_pymes_18","tax_group_purchase_pymes"
"fptt_pymes_irpf15sale_21","fp_pymes_irpf15","iva_pymes_rep_21","iva_pymes_rep_21","tax_group_sale_pymes"
"fptt_pymes_irpf15sale_21_2","fp_pymes_irpf15","iva_pymes_rep_21","irpf_pymes_sale_15","tax_group_sale_pymes"
"fptt_pymes_irpf15sale_10","fp_pymes_irpf15","iva_pymes_rep_10","iva_pymes_rep_10","tax_group_sale_pymes"
"fptt_pymes_irpf15sale_10_2","fp_pymes_irpf15","iva_pymes_rep_10","irpf_pymes_sale_15","tax_group_sale_pymes"
"fptt_pymes_irpf15sale_4","fp_pymes_irpf15","iva_pymes_rep_4","iva_pymes_rep_4","tax_group_sale_pymes"
"fptt_pymes_irpf15sale_4_2","fp_pymes_irpf15","iva_pymes_rep_4","irpf_pymes_sale_15","tax_group_sale_pymes"
"fptt_pymes_irpf15_21","fp_pymes_irpf15","iva_pymes_sop_21","iva_pymes_sop_21","tax_group_purchase_pymes"
"fptt_pymes_irpf15_21_2","fp_pymes_irpf15","iva_pymes_sop_21","irpf_pymes_15","tax_group_purchase_pymes"
"fptt_pymes_irpf15_10","fp_pymes_irpf15","iva_pymes_sop_10","iva_pymes_sop_10","tax_group_purchase_pymes"
"fptt_pymes_irpf15_10_2","fp_pymes_irpf15","iva_pymes_sop_10","irpf_pymes_15","tax_group_purchase_pymes"
"fptt_pymes_irpf15_4","fp_pymes_irpf15","iva_pymes_sop_4","iva_pymes_sop_4","tax_group_purchase_pymes"
"fptt_pymes_irpf15_4_2","fp_pymes_irpf15","iva_pymes_sop_4","irpf_pymes_15","tax_group_purchase_pymes"
"fptt_pymes_irpf9sale_21","fp_pymes_irpf9","iva_pymes_rep_21","iva_pymes_rep_21","tax_group_sale_pymes"
"fptt_pymes_irpf9sale_21_2","fp_pymes_irpf9","iva_pymes_rep_21","irpf_pymes_sale_9","tax_group_sale_pymes"
"fptt_pymes_irpf9sale_10","fp_pymes_irpf9","iva_pymes_rep_10","iva_pymes_rep_10","tax_group_sale_pymes"
"fptt_pymes_irpf9sale_10_2","fp_pymes_irpf9","iva_pymes_rep_10","irpf_pymes_sale_9","tax_group_sale_pymes"
"fptt_pymes_irpf9sale_4","fp_pymes_irpf9","iva_pymes_rep_4","iva_pymes_rep_4","tax_group_sale_pymes"
"fptt_pymes_irpf9sale_4_2","fp_pymes_irpf9","iva_pymes_rep_4","irpf_pymes_sale_9","tax_group_sale_pymes"
"fptt_pymes_irpf9_21","fp_pymes_irpf9","iva_pymes_sop_21","iva_pymes_sop_21","tax_group_purchase_pymes"
"fptt_pymes_irpf9_21_2","fp_pymes_irpf9","iva_pymes_sop_21","irpf_pymes_9","tax_group_purchase_pymes"
"fptt_pymes_irpf9_10","fp_pymes_irpf9","iva_pymes_sop_10","iva_pymes_sop_10","tax_group_purchase_pymes"
"fptt_pymes_irpf9_10_2","fp_pymes_irpf9","iva_pymes_sop_10","irpf_pymes_9","tax_group_purchase_pymes"
"fptt_pymes_irpf9_4","fp_pymes_irpf9","iva_pymes_sop_4","iva_pymes_sop_4","tax_group_purchase_pymes"
"fptt_pymes_irpf9_4_2","fp_pymes_irpf9","iva_pymes_sop_4","irpf_pymes_9","tax_group_purchase_pymes"
"fptt_pymes_irpf7sale_21","fp_pymes_irpf7","iva_pymes_rep_21","iva_pymes_rep_21","tax_group_sale_pymes"
"fptt_pymes_irpf7sale_21_2","fp_pymes_irpf7","iva_pymes_rep_21","irpf_pymes_sale_7","tax_group_sale_pymes"
"fptt_pymes_irpf7sale_10","fp_pymes_irpf7","iva_pymes_rep_10","iva_pymes_rep_10","tax_group_sale_pymes"
"fptt_pymes_irpf7sale_10_2","fp_pymes_irpf7","iva_pymes_rep_10","irpf_pymes_sale_7","tax_group_sale_pymes"
