"id","name","parent","account","group","type","recargo_equivalencia","percentage","invoice_base_code","invoice_tax_code","credit_note_base_code","credit_note_tax_code","invoice_base_sign3","invoice_tax_sign3","credit_note_base_sign3","credit_note_tax_sign3","invoice_base_sign4","invoice_tax_sign4","credit_note_base_sign4","credit_note_tax_sign4","invoice_account","credit_note_account","sequence","start_date","end_date","account_name","deducible","report_description","report_type","sii_book_key","sii_issued_key","sii_received_key","sii_intracomunitary_key","sii_subjected","sii_except_type","intra type",,
"iva_pymes_IC_compras_10_bc_2","IVA 10% Intracomunitario. Bienes corrientes (2)","iva_pymes_IC_compras_10_bc","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-10.0')","iva_pymes_dev_19","iva_pymes_dev_20","iva_pymes_dev_19","iva_pymes_dev_20",,-1,-1,-1,,-1,1,1,"pgc_pymes_477010","pgc_pymes_477010",2290,"2012-09-01",,,"True",,1,"R",,9,,"S1",,,,
"iva_pymes_IC_compras_10_bi","IVA 10% Intracomunitario. Bienes de inversión",,"pgc_pymes_0","tax_group_purchase_pymes","none","False",,,,,,,,,,,,,,"pgc_pymes_4700_child","pgc_pymes_4700_child",2270,"2012-09-01",,,"True",,,"R",,9,,"S1",,,,
"iva_pymes_IC_compras_10_bi_1","IVA 10% Intracomunitario. Bienes de inversión (1)","iva_pymes_IC_compras_10_bi","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('10.0')","iva_pymes_ded_32_10","iva_pymes_ded_33_10","iva_pymes_ded_32_10","iva_pymes_ded_33_10",,,-1,-1,,,1,1,"pgc_pymes_472010","pgc_pymes_472010",2280,"2012-09-01",,,"True",,1,"R",,9,,"S1",,,,
"iva_pymes_IC_compras_10_bi_2","IVA 10% Intracomunitario. Bienes de inversión (2)","iva_pymes_IC_compras_10_bi","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-10.0')","iva_pymes_dev_19","iva_pymes_dev_20","iva_pymes_dev_19","iva_pymes_dev_20",,-1,-1,-1,,-1,1,1,"pgc_pymes_477010","pgc_pymes_477010",2290,"2012-09-01",,,"True",,1,"R",,9,,"S1",,,,
"iva_pymes_IC_compras_10_servicios","IVA 10% Intracomunitario. Servicios",,"pgc_pymes_0","tax_group_purchase_pymes","none","False",,,,,,,,,,,,,,"pgc_pymes_4700_child","pgc_pymes_4700_child",2270,,,,"True",,,"R",,9,,"S1",,,,
"iva_pymes_IC_compras_10_servicios_1","IVA 10% Intracomunitario. Servicios (1)","iva_pymes_IC_compras_10_servicios","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('10.0')","iva_pymes_ded_30_10","iva_pymes_ded_31_10","iva_pymes_ded_30_10","iva_pymes_ded_31_10",,,-1,-1,,,1,1,"pgc_pymes_472010","pgc_pymes_472010",2280,,,,"True",,,"R",,9,,"S1",,,,
"iva_pymes_IC_compras_10_servicios_2","IVA 10% Intracomunitario. Servicios (2)","iva_pymes_IC_compras_10_servicios","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-10.0')","iva_pymes_dev_19","iva_pymes_dev_20","iva_pymes_dev_19","iva_pymes_dev_20",,-1,-1,-1,,-1,1,1,"pgc_pymes_477010","pgc_pymes_477010",2290,,,,"True",,,"R",,9,,"S1",,,,
"iva_pymes_IC_compras_21_bc","IVA 21% Intracomunitario. Bienes corrientes",,"pgc_pymes_0","tax_group_purchase_pymes","none","False",,,,,,,,,,,,,,"pgc_pymes_4700_child","pgc_pymes_4700_child",2240,"2012-09-01",,,"True",,,"R",,9,,"S1",,,,"tax_group_purchase"
"iva_pymes_IC_compras_21_bc_1","IVA 21% Intracomunitario. Bienes corrientes (1)","iva_pymes_IC_compras_21_bc","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('21.0')","iva_pymes_ded_30_21","iva_pymes_ded_31_21","iva_pymes_ded_30_21","iva_pymes_ded_31_21",,,-1,-1,,,1,1,"pgc_pymes_472021","pgc_pymes_472021",2250,"2012-09-01",,,"True",,1,"R",,9,,"S1",,,,"tax_group_purchase"
"iva_pymes_IC_compras_21_bc_2","IVA 21% Intracomunitario. Bienes corrientes (2)","iva_pymes_IC_compras_21_bc","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-21.0')","iva_pymes_dev_19","iva_pymes_dev_20","iva_pymes_dev_19","iva_pymes_dev_20",,-1,-1,-1,,-1,1,1,"pgc_pymes_477021","pgc_pymes_477021",2260,"2012-09-01",,,"True",,1,"R",,9,,"S1",,,,
"iva_pymes_IC_compras_21_bi","IVA 21% Intracomunitario. Bienes de inversión",,"pgc_pymes_0","tax_group_purchase_pymes","none","False",,,,,,,,,,,,,,"pgc_pymes_4700_child","pgc_pymes_4700_child",2240,"2012-09-01",,,"True",,,"R",,9,,"S1",,,,
"iva_pymes_IC_compras_21_bi_1","IVA 21% Intracomunitario. Bienes de inversión (1)","iva_pymes_IC_compras_21_bi","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('21.0')","iva_pymes_ded_32_21","iva_pymes_ded_33_21","iva_pymes_ded_32_21","iva_pymes_ded_33_21",,,-1,-1,,,1,1,"pgc_pymes_472021","pgc_pymes_472021",2250,"2012-09-01",,,"True",,1,"R",,9,,"S1",,,,
"iva_pymes_IC_compras_21_bi_2","IVA 21% Intracomunitario. Bienes de inversión (2)","iva_pymes_IC_compras_21_bi","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-21.0')","iva_pymes_dev_19","iva_pymes_dev_20","iva_pymes_dev_19","iva_pymes_dev_20",,-1,-1,-1,,-1,1,1,"pgc_pymes_477021","pgc_pymes_477021",2260,"2012-09-01",,,"True",,1,"R",,9,,"S1",,,,
"iva_pymes_IC_compras_21_ser","IVA 21% Intracomunitario. Servicios",,"pgc_pymes_0","tax_group_purchase_pymes","none","False",,,,,,,,,,,,,,"pgc_pymes_4700_child","pgc_pymes_4700_child",2240,"2012-09-01",,,"True",,,"R",,9,,"S1",,,,
"iva_pymes_IC_compras_21_ser_1","IVA 21% Intracomunitario. Servicios (1)","iva_pymes_IC_compras_21_ser","pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('21.0')","iva_pymes_ded_30_21","iva_pymes_ded_31_21","iva_pymes_ded_30_21","iva_pymes_ded_31_21",,,-1,-1,,,1,1,"pgc_pymes_472021","pgc_pymes_472021",2250,"2012-09-01",,,"True",,1,"R",,9,,"S1",,,,
